code,label
B16004_001,
B16004_002,!!5 to 17 years:
B16004_003,!!5 to 17 years:!!Speak only English
B16004_004,!!5 to 17 years:!!Speak Spanish:
B16004_005,"!!5 to 17 years:!!Speak Spanish:!!Speak English ""very well"""
B16004_006,"!!5 to 17 years:!!Speak Spanish:!!Speak English ""well"""
B16004_007,"!!5 to 17 years:!!Speak Spanish:!!Speak English ""not well"""
B16004_008,"!!5 to 17 years:!!Speak Spanish:!!Speak English ""not at all"""
B16004_009,!!5 to 17 years:!!Speak other Indo-European languages:
B16004_010,"!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""very well"""
B16004_011,"!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""well"""
B16004_012,"!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""not well"""
B16004_013,"!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""not at all"""
B16004_014,!!5 to 17 years:!!Speak Asian and Pacific Island languages:
B16004_015,"!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""very well"""
B16004_016,"!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""well"""
B16004_017,"!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not well"""
B16004_018,"!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all"""
B16004_019,!!5 to 17 years:!!Speak other languages:
B16004_020,"!!5 to 17 years:!!Speak other languages:!!Speak English ""very well"""
B16004_021,"!!5 to 17 years:!!Speak other languages:!!Speak English ""well"""
B16004_022,"!!5 to 17 years:!!Speak other languages:!!Speak English ""not well"""
B16004_023,"!!5 to 17 years:!!Speak other languages:!!Speak English ""not at all"""
B16004_024,!!18 to 64 years:
B16004_025,!!18 to 64 years:!!Speak only English
B16004_026,!!18 to 64 years:!!Speak Spanish:
B16004_027,"!!18 to 64 years:!!Speak Spanish:!!Speak English ""very well"""
B16004_028,"!!18 to 64 years:!!Speak Spanish:!!Speak English ""well"""
B16004_029,"!!18 to 64 years:!!Speak Spanish:!!Speak English ""not well"""
B16004_030,"!!18 to 64 years:!!Speak Spanish:!!Speak English ""not at all"""
B16004_031,!!18 to 64 years:!!Speak other Indo-European languages:
B16004_032,"!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""very well"""
B16004_033,"!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""well"""
B16004_034,"!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""not well"""
B16004_035,"!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""not at all"""
B16004_036,!!18 to 64 years:!!Speak Asian and Pacific Island languages:
B16004_037,"!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""very well"""
B16004_038,"!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""well"""
B16004_039,"!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not well"""
B16004_040,"!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all"""
B16004_041,!!18 to 64 years:!!Speak other languages:
B16004_042,"!!18 to 64 years:!!Speak other languages:!!Speak English ""very well"""
B16004_043,"!!18 to 64 years:!!Speak other languages:!!Speak English ""well"""
B16004_044,"!!18 to 64 years:!!Speak other languages:!!Speak English ""not well"""
B16004_045,"!!18 to 64 years:!!Speak other languages:!!Speak English ""not at all"""
B16004_046,!!65 years and over:
B16004_047,!!65 years and over:!!Speak only English
B16004_048,!!65 years and over:!!Speak Spanish:
B16004_049,"!!65 years and over:!!Speak Spanish:!!Speak English ""very well"""
B16004_050,"!!65 years and over:!!Speak Spanish:!!Speak English ""well"""
B16004_051,"!!65 years and over:!!Speak Spanish:!!Speak English ""not well"""
B16004_052,"!!65 years and over:!!Speak Spanish:!!Speak English ""not at all"""
B16004_053,!!65 years and over:!!Speak other Indo-European languages:
B16004_054,"!!65 years and over:!!Speak other Indo-European languages:!!Speak English ""very well"""
B16004_055,"!!65 years and over:!!Speak other Indo-European languages:!!Speak English ""well"""
B16004_056,"!!65 years and over:!!Speak other Indo-European languages:!!Speak English ""not well"""
B16004_057,"!!65 years and over:!!Speak other Indo-European languages:!!Speak English ""not at all"""
B16004_058,!!65 years and over:!!Speak Asian and Pacific Island languages:
B16004_059,"!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English ""very well"""
B16004_060,"!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English ""well"""
B16004_061,"!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English ""not well"""
B16004_062,"!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all"""
B16004_063,!!65 years and over:!!Speak other languages:
B16004_064,"!!65 years and over:!!Speak other languages:!!Speak English ""very well"""
B16004_065,"!!65 years and over:!!Speak other languages:!!Speak English ""well"""
B16004_066,"!!65 years and over:!!Speak other languages:!!Speak English ""not well"""
B16004_067,"!!65 years and over:!!Speak other languages:!!Speak English ""not at all"""
