"county","tract","bg","cntyname","LandSQMI","afact"
"County code","Tract","Block group","County name","Land area (sq. mi.)","_us_ to bg allocation factor"
"53001","9501.00","1","Adams WA",616.7108,0.0093 
"53001","9501.00","2","Adams WA",3.7743,0.0001 
"53001","9501.00","3","Adams WA",3.2363,0 
"53001","9502.00","1","Adams WA",417.4093,0.0063 
"53001","9502.00","2","Adams WA",135.9717,0.002 
"53001","9502.00","3","Adams WA",461.8781,0.007 
"53001","9503.00","1","Adams WA",4.7625,0.0001 
"53001","9503.00","2","Adams WA",164.7332,0.0025 
"53001","9503.00","3","Adams WA",66.7822,0.001 
"53001","9503.00","4","Adams WA",41.1065,0.0006 
"53001","9503.00","5","Adams WA",2.5191,0 
"53001","9504.00","1","Adams WA",0.3234,0 
"53001","9504.00","2","Adams WA",0.9879,0 
"53001","9505.00","1","Adams WA",3.4521,0.0001 
"53001","9505.00","2","Adams WA",1.3302,0 
"53003","9601.00","1","Asotin WA",185.5422,0.0028 
"53003","9601.00","2","Asotin WA",320.6181,0.0048 
"53003","9601.00","3","Asotin WA",11.3141,0.0002 
"53003","9602.00","1","Asotin WA",1.4487,0 
"53003","9602.00","2","Asotin WA",0.3875,0 
"53003","9602.00","3","Asotin WA",1.1711,0 
"53003","9602.00","4","Asotin WA",110.9807,0.0017 
"53003","9603.00","1","Asotin WA",0.7876,0 
"53003","9603.00","2","Asotin WA",0.172,0 
"53003","9603.00","3","Asotin WA",0.1982,0 
"53003","9603.00","4","Asotin WA",0.3737,0 
"53003","9604.00","1","Asotin WA",0.3276,0 
"53003","9604.00","2","Asotin WA",0.2851,0 
"53003","9605.00","1","Asotin WA",0.1331,0 
"53003","9605.00","2","Asotin WA",0.1719,0 
"53003","9605.00","3","Asotin WA",0.1982,0 
"53003","9605.00","4","Asotin WA",0.2112,0 
"53003","9606.00","1","Asotin WA",0.255,0 
"53003","9606.00","2","Asotin WA",0.8523,0 
"53003","9606.00","3","Asotin WA",0.3181,0 
"53003","9606.00","4","Asotin WA",0.4665,0 
"53005","0101.00","1","Benton WA",0.8527,0 
"53005","0101.00","2","Benton WA",1.6447,0 
"53005","0102.01","1","Benton WA",16.2266,0.0002 
"53005","0102.01","2","Benton WA",0.3617,0 
"53005","0102.01","3","Benton WA",0.2176,0 
"53005","0102.02","1","Benton WA",1.1602,0 
"53005","0102.02","2","Benton WA",0.2585,0 
"53005","0102.02","3","Benton WA",0.1506,0 
"53005","0102.02","4","Benton WA",0.231,0 
"53005","0102.02","5","Benton WA",0.2168,0 
"53005","0103.00","1","Benton WA",0.3941,0 
"53005","0103.00","2","Benton WA",0.2782,0 
"53005","0103.00","3","Benton WA",0.2287,0 
"53005","0103.00","4","Benton WA",1.3087,0 
"53005","0104.00","1","Benton WA",0.3334,0 
"53005","0104.00","2","Benton WA",0.1218,0 
"53005","0104.00","3","Benton WA",0.1248,0 
"53005","0105.00","1","Benton WA",0.4733,0 
"53005","0105.00","2","Benton WA",0.296,0 
"53005","0105.00","3","Benton WA",0.2357,0 
"53005","0106.00","1","Benton WA",0.2697,0 
"53005","0106.00","2","Benton WA",0.2365,0 
"53005","0106.00","3","Benton WA",0.1037,0 
"53005","0106.00","4","Benton WA",0.5369,0 
"53005","0106.00","5","Benton WA",1.8774,0 
