GEOID,LandSQMI,NAME,estimate_B01001_001,moe_B01001_001,people_per_sqmi
530019501001,616.7108,"Block Group 1, Census Tract 9501, Adams County, Washington",814,178,1.3199055375712572
530019501002,3.7743,"Block Group 2, Census Tract 9501, Adams County, Washington",1159,156,307.07680894470496
530019501003,3.2363,"Block Group 3, Census Tract 9501, Adams County, Washington",538,115,166.23922380496245
530019502001,417.4093,"Block Group 1, Census Tract 9502, Adams County, Washington",379,81,0.9079816860812637
530019502002,135.9717,"Block Group 2, Census Tract 9502, Adams County, Washington",712,168,5.236383747500399
530019502003,461.8781,"Block Group 3, Census Tract 9502, Adams County, Washington",539,117,1.1669745761922896
530019503001,4.7625,"Block Group 1, Census Tract 9503, Adams County, Washington",2189,503,459.6325459317585
530019503002,164.7332,"Block Group 2, Census Tract 9503, Adams County, Washington",1491,498,9.050998827194517
530019503003,66.7822,"Block Group 3, Census Tract 9503, Adams County, Washington",1348,466,20.185019361446614
530019503004,41.1065,"Block Group 4, Census Tract 9503, Adams County, Washington",435,236,10.58226801114179
530019503005,2.5191,"Block Group 5, Census Tract 9503, Adams County, Washington",1083,376,429.9154459926164
530019504001,0.3234,"Block Group 1, Census Tract 9504, Adams County, Washington",1379,371,4264.069264069264
530019504002,0.9879,"Block Group 2, Census Tract 9504, Adams County, Washington",1858,417,1880.757161656038
530019505001,3.4521,"Block Group 1, Census Tract 9505, Adams County, Washington",2091,437,605.7182584513774
530019505002,1.3302,"Block Group 2, Census Tract 9505, Adams County, Washington",3579,522,2690.572846188543
530039601001,185.5422,"Block Group 1, Census Tract 9601, Asotin County, Washington",1138,291,6.133375587871654
530039601002,320.6181,"Block Group 2, Census Tract 9601, Asotin County, Washington",826,475,2.5762737662034674
530039601003,11.3141,"Block Group 3, Census Tract 9601, Asotin County, Washington",2436,318,215.30656437542535
530039602001,1.4487,"Block Group 1, Census Tract 9602, Asotin County, Washington",1445,349,997.4459860564643
530039602002,0.3875,"Block Group 2, Census Tract 9602, Asotin County, Washington",805,200,2077.4193548387098
530039602003,1.1711,"Block Group 3, Census Tract 9602, Asotin County, Washington",624,182,532.8323798138503
530039602004,110.9807,"Block Group 4, Census Tract 9602, Asotin County, Washington",1937,369,17.45348515552704
530039603001,0.7876,"Block Group 1, Census Tract 9603, Asotin County, Washington",918,287,1165.566277298121
530039603002,0.172,"Block Group 2, Census Tract 9603, Asotin County, Washington",1149,322,6680.232558139535
530039603003,0.1982,"Block Group 3, Census Tract 9603, Asotin County, Washington",758,221,3824.4197780020186
530039603004,0.3737,"Block Group 4, Census Tract 9603, Asotin County, Washington",980,293,2622.4244046026224
530039604001,0.3276,"Block Group 1, Census Tract 9604, Asotin County, Washington",1467,304,4478.021978021978
530039604002,0.2851,"Block Group 2, Census Tract 9604, Asotin County, Washington",950,168,3332.1641529287967
530039605001,0.1331,"Block Group 1, Census Tract 9605, Asotin County, Washington",404,124,3035.3117956423744
530039605002,0.1719,"Block Group 2, Census Tract 9605, Asotin County, Washington",883,263,5136.707388016289
